coordinator_group_id,scenario_name,realization_id,conflict_id,conflict_type,module_a,module_b,action_id_a,action_id_b,affected_sector_id,affected_parameter,application_affected_sector_id,application_state_variable,conflict_reason,severity
36,mixed_conflict,19,76,duplicate_application_target_parameter,LB/MLB,LB/MLB,17855,17868,10,sectors.cio_dB,10,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
36,mixed_conflict,19,77,duplicate_application_target_parameter,LB/MLB,LB/MLB,17855,17889,10,sectors.cio_dB,10,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
36,mixed_conflict,19,78,duplicate_application_target_parameter,LB/MLB,LB/MLB,17868,17889,10,sectors.cio_dB,10,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
36,mixed_conflict,19,79,duplicate_application_target_parameter,LB/MLB,LB/MLB,17790,17832,16,sectors.cio_dB,16,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
36,mixed_conflict,19,80,duplicate_application_target_parameter,LB/MLB,LB/MLB,17790,17936,16,sectors.cio_dB,16,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
36,mixed_conflict,19,81,duplicate_application_target_parameter,LB/MLB,LB/MLB,17790,17962,16,sectors.cio_dB,16,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
36,mixed_conflict,19,82,duplicate_application_target_parameter,LB/MLB,LB/MLB,17832,17936,16,sectors.cio_dB,16,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
36,mixed_conflict,19,83,duplicate_application_target_parameter,LB/MLB,LB/MLB,17832,17962,16,sectors.cio_dB,16,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
36,mixed_conflict,19,84,duplicate_application_target_parameter,LB/MLB,LB/MLB,17936,17962,16,sectors.cio_dB,16,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
38,handover_stress,1,85,duplicate_application_target_parameter,HO/MRO,HO/MRO,22683,23217,1,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,1,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
38,handover_stress,1,86,duplicate_application_target_parameter,HO/MRO,HO/MRO,23573,23751,2,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,2,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
38,handover_stress,1,87,duplicate_application_target_parameter,HO/MRO,HO/MRO,24522,24819,3,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,3,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
38,handover_stress,1,88,duplicate_application_target_parameter,HO/MRO,HO/MRO,23039,23395,10,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,10,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
38,handover_stress,1,89,duplicate_application_target_parameter,HO/MRO,HO/MRO,22861,24997,19,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,19,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
38,handover_stress,1,90,duplicate_application_target_parameter,HO/MRO,HO/MRO,22386,24107,20,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,20,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
38,handover_stress,1,91,cross_cell_reinforcing,HO/MRO,HO/MRO,22149,23573,2,CIO,2,CIO,Reverse-cell pair has same-sign CIO; both retained if safe.,info
38,handover_stress,1,92,cross_cell_reinforcing,HO/MRO,HO/MRO,22386,24819,3,CIO,3,CIO,Reverse-cell pair has same-sign CIO; both retained if safe.,info
38,handover_stress,1,93,cross_cell_reinforcing,HO/MRO,HO/MRO,22861,24641,6,CIO,6,CIO,Reverse-cell pair has same-sign CIO; both retained if safe.,info
38,handover_stress,1,94,cross_cell_reinforcing,HO/MRO,HO/MRO,23929,24285,15,CIO,15,CIO,Reverse-cell pair has same-sign CIO; both retained if safe.,info
40,handover_stress,2,95,duplicate_application_target_parameter,HO/MRO,HO/MRO,28557,28913,1,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,1,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
40,handover_stress,2,96,duplicate_application_target_parameter,HO/MRO,HO/MRO,29269,29447,2,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,2,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
40,handover_stress,2,97,duplicate_application_target_parameter,HO/MRO,HO/MRO,28379,29981,16,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,16,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
40,handover_stress,2,98,cross_cell_reinforcing,HO/MRO,HO/MRO,28201,28557,1,CIO,1,CIO,Reverse-cell pair has same-sign CIO; both retained if safe.,info
40,handover_stress,2,99,cross_cell_reinforcing,HO/MRO,HO/MRO,28735,29091,8,CIO,8,CIO,Reverse-cell pair has same-sign CIO; both retained if safe.,info
55,outage_sector,17,100,cross_cell_reinforcing,HO/MRO,HO/MRO,108479,108657,2,CIO,2,CIO,Reverse-cell pair has same-sign CIO; both retained if safe.,info
62,overload,2,101,duplicate_application_target_parameter,HO/MRO,HO/MRO,32223,32532,13,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,13,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
72,handover_stress,13,102,duplicate_application_target_parameter,HO/MRO,HO/MRO,85742,86822,12,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,12,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
72,handover_stress,13,103,duplicate_application_target_parameter,HO/MRO,HO/MRO,86644,86941,13,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,13,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
72,handover_stress,13,104,cross_cell_reinforcing,HO/MRO,HO/MRO,86644,86822,12,CIO,12,CIO,Reverse-cell pair has same-sign CIO; both retained if safe.,info
77,handover_stress,18,105,duplicate_application_target_parameter,HO/MRO,HO/MRO,109903,110615,1,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,1,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
77,handover_stress,18,106,duplicate_application_target_parameter,HO/MRO,HO/MRO,110971,111149,2,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,2,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
77,handover_stress,18,107,duplicate_application_target_parameter,HO/MRO,HO/MRO,111742,111861,3,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,3,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
77,handover_stress,18,108,duplicate_application_target_parameter,HO/MRO,HO/MRO,110259,110793,8,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,8,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
77,handover_stress,18,109,duplicate_application_target_parameter,HO/MRO,HO/MRO,109784,111505,20,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,20,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
77,handover_stress,18,110,cross_cell_reinforcing,HO/MRO,HO/MRO,109369,109903,1,CIO,1,CIO,Reverse-cell pair has same-sign CIO; both retained if safe.,info
77,handover_stress,18,111,cross_cell_reinforcing,HO/MRO,HO/MRO,109547,110971,2,CIO,2,CIO,Reverse-cell pair has same-sign CIO; both retained if safe.,info
77,handover_stress,18,112,cross_cell_reinforcing,HO/MRO,HO/MRO,109784,111861,3,CIO,3,CIO,Reverse-cell pair has same-sign CIO; both retained if safe.,info
77,handover_stress,18,113,cross_cell_reinforcing,HO/MRO,HO/MRO,110437,110793,8,CIO,8,CIO,Reverse-cell pair has same-sign CIO; both retained if safe.,info
78,handover_stress,19,114,duplicate_application_target_parameter,HO/MRO,HO/MRO,115777,116429,10,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,10,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
78,handover_stress,19,115,duplicate_application_target_parameter,HO/MRO,HO/MRO,115065,116548,12,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,12,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
78,handover_stress,19,116,duplicate_application_target_parameter,HO/MRO,HO/MRO,115243,117201,16,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,16,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
78,handover_stress,19,117,duplicate_application_target_parameter,HO/MRO,HO/MRO,115599,117735,19,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,19,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
78,handover_stress,19,118,cross_cell_reinforcing,HO/MRO,HO/MRO,115599,117379,6,CIO,6,CIO,Reverse-cell pair has same-sign CIO; both retained if safe.,info
78,handover_stress,19,119,cross_cell_reinforcing,HO/MRO,HO/MRO,115777,116133,8,CIO,8,CIO,Reverse-cell pair has same-sign CIO; both retained if safe.,info
78,handover_stress,19,120,cross_cell_reinforcing,HO/MRO,HO/MRO,116667,117023,15,CIO,15,CIO,Reverse-cell pair has same-sign CIO; both retained if safe.,info
