final_decision_id,coordinator_group_id,scenario_name,realization_id,module_name,module_priority,decision_source_sector_id,decision_target_sector_id,source_sector_id,target_sector_id,coordinator_affected_sector_id,application_affected_sector_id,application_state_variable,affected_sector_id,affected_parameter,selected_action_id_safe,accepted_action_type,final_decision_status,executable_flag,not_applied_flag,safety_valid,fallback_used,noop_selected,unresolved_fallback_flag,rejection_reason,conflict_id,conflict_type,final_candidate_rank,predicted_reward,true_reward,safety_enforced_regret,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action,implementability_status,simulator_state_variable,required_simulator_function,implementation_gap_reason,can_apply_in_phase12b,dry_run_only_flag
48,18,mixed_conflict,2,LB/MLB,3,4,19,4,19,4,19,sectors.cio_dB,4,CIO_bias,9438,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,-0.12748666789774,-0.1275,0,0,0,-3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
55,18,mixed_conflict,2,LB/MLB,3,11,2,11,2,11,2,sectors.cio_dB,11,CIO_bias,9529,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,2,-0.127523543170048,-0.1275,0,0,0,-3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
58,18,mixed_conflict,2,LB/MLB,3,15,14,15,14,15,14,sectors.cio_dB,15,CIO_bias,9568,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,3,-0.13379173981548,-0.1338,0,0,0,-3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
59,18,mixed_conflict,2,LB/MLB,3,16,18,16,18,16,18,sectors.cio_dB,16,CIO_bias,9582,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,4,0.259682175745716,0.26125,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
66,2,degraded_sector,3,LB/MLB,3,1,5,1,5,1,5,sectors.cio_dB,1,CIO_bias,9913,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.0637207532805646,0.06625,0,0,0,6,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
72,19,mixed_conflict,3,LB/MLB,3,9,1,9,1,9,1,sectors.cio_dB,9,CIO_bias,10028,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,-0.12747584151144,-0.1275,0,0,0,-3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
73,19,mixed_conflict,3,LB/MLB,3,10,11,10,11,10,11,sectors.cio_dB,10,CIO_bias,10045,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,2,-0.127546003692943,-0.1275,0,0,0,-3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
75,19,mixed_conflict,3,LB/MLB,3,12,2,12,2,12,2,sectors.cio_dB,12,CIO_bias,10068,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,3,0.100880155115219,0.0928114796445559,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
76,19,mixed_conflict,3,LB/MLB,3,13,15,13,15,13,15,sectors.cio_dB,13,CIO_bias,10089,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,4,0.245236430681993,0.24652193582895,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
78,19,mixed_conflict,3,LB/MLB,3,16,3,16,3,16,3,sectors.cio_dB,16,CIO_bias,10111,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,5,0.261235842424934,0.26125,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
82,20,normal,3,LB/MLB,3,3,16,3,16,3,16,sectors.cio_dB,3,CIO_bias,10160,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.0440438251545348,0.06625,0,0,0,6,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
85,21,degraded_sector,4,LB/MLB,3,13,2,13,2,13,2,sectors.cio_dB,13,CIO_bias,10433,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.0446840734726397,0.05540156711438,0,0,0,6,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
88,22,handover_stress,4,LB/MLB,3,16,20,16,20,16,20,sectors.cio_dB,16,CIO_bias,10471,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.0665464855093544,0.0697161126571549,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
89,23,handover_stress,5,LB/MLB,3,3,16,3,16,3,16,sectors.cio_dB,3,CIO_bias,10939,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.108468570694168,0.111482705411398,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
90,23,handover_stress,5,LB/MLB,3,4,5,4,5,4,5,sectors.cio_dB,4,CIO_bias,10952,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,2,-0.0348517342895966,-0.0310552605818644,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
92,24,outage_sector,5,LB/MLB,3,1,5,1,5,1,5,sectors.cio_dB,1,CIO_bias,11199,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.260529141023396,0.26125,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
93,25,degraded_sector,6,LB/MLB,3,2,12,2,12,2,12,sectors.cio_dB,2,CIO_bias,11446,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,-0.0329060295520869,-0.0300447383259831,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
96,26,outage_sector,6,LB/MLB,3,9,5,9,5,9,5,sectors.cio_dB,9,CIO_bias,11740,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,-0.0238976073517868,-0.0229697407911832,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
100,27,mixed_conflict,8,LB/MLB,3,3,16,3,16,3,16,sectors.cio_dB,3,CIO_bias,12537,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,-0.12707163149806,-0.1275,0,0,0,-3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
102,27,mixed_conflict,8,LB/MLB,3,5,4,5,4,5,4,sectors.cio_dB,5,CIO_bias,12571,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,2,-0.127333731128709,-0.127500000000001,0,0,0,-3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
107,27,mixed_conflict,8,LB/MLB,3,11,8,11,8,11,8,sectors.cio_dB,11,CIO_bias,12633,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,3,0.0847608633362545,0.0549706298324548,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
109,27,mixed_conflict,8,LB/MLB,3,13,15,13,15,13,15,sectors.cio_dB,13,CIO_bias,12663,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,4,-0.0431503823998806,-0.0391649553756275,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
116,29,overload,12,LB/MLB,3,5,1,5,1,5,1,sectors.cio_dB,5,CIO_bias,14670,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.261110659806264,0.26125,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
121,29,overload,12,LB/MLB,3,10,11,10,11,10,11,sectors.cio_dB,10,CIO_bias,14739,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,2,0.000435946635675155,0.00152607602945076,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
122,29,overload,12,LB/MLB,3,12,2,12,2,12,2,sectors.cio_dB,12,CIO_bias,14747,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,3,-0.127368182551012,-0.1275,0,0,0,-3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
128,29,overload,12,LB/MLB,3,18,15,18,15,18,15,sectors.cio_dB,18,CIO_bias,14833,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,4,-0.127577940876937,-0.1275,0,0,0,-3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
130,29,overload,12,LB/MLB,3,20,21,20,21,20,21,sectors.cio_dB,20,CIO_bias,14859,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,5,-0.127495479021599,-0.1275,0,0,0,-3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
137,30,overload,13,LB/MLB,3,9,5,9,5,9,5,sectors.cio_dB,9,CIO_bias,15237,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,-0.06327591923297,-0.152114420971201,0.018314420971201,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
150,31,normal,14,LB/MLB,3,12,13,12,13,12,13,sectors.cio_dB,12,CIO_bias,15675,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.246923248436819,0.253336968086199,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
152,32,overload,14,LB/MLB,3,1,3,1,3,1,3,sectors.cio_dB,1,CIO_bias,15718,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,-0.0559471861422481,-0.138640725292252,0.00484072529225199,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
160,32,overload,14,LB/MLB,3,11,8,11,8,11,8,sectors.cio_dB,11,CIO_bias,15818,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,2,0.018683728002976,0.0319825215707537,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
164,32,overload,14,LB/MLB,3,15,14,15,14,15,14,sectors.cio_dB,15,CIO_bias,15873,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,3,-0.127612872626937,-0.1275,0,0,0,-3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
165,32,overload,14,LB/MLB,3,16,20,16,20,16,20,sectors.cio_dB,16,CIO_bias,15879,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,4,0.257721276576772,0.255353264755623,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
171,33,overload,15,LB/MLB,3,2,13,2,13,2,13,sectors.cio_dB,2,CIO_bias,16247,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,-0.0648973000436258,-0.076381129789331,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
174,33,overload,15,LB/MLB,3,5,9,5,9,5,9,sectors.cio_dB,5,CIO_bias,16285,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,2,-0.127408666804303,-0.1275,0,0,0,-3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
175,33,overload,15,LB/MLB,3,6,19,6,19,6,19,sectors.cio_dB,6,CIO_bias,16295,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,3,0.192950104111587,0.180498402437508,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
176,33,overload,15,LB/MLB,3,7,10,7,10,7,10,sectors.cio_dB,7,CIO_bias,16312,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,4,0.259551227665101,0.26125,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
186,34,handover_stress,16,LB/MLB,3,16,20,16,20,16,20,sectors.cio_dB,16,CIO_bias,16451,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,-0.0393403617092473,-0.0376068534224859,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
187,35,handover_stress,17,LB/MLB,3,12,10,12,10,12,10,sectors.cio_dB,12,CIO_bias,16888,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.110364912482823,0.119854897805275,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
188,13,outage_sector,18,LB/MLB,3,14,17,14,17,14,17,sectors.cio_dB,14,CIO_bias,17534,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,2,-0.0214003002206363,-0.0265677932647433,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
189,36,mixed_conflict,19,LB/MLB,3,3,16,3,16,3,16,sectors.cio_dB,3,CIO_bias,17790,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,-0.0446724691241176,-0.0253822742620194,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
191,36,mixed_conflict,19,LB/MLB,3,5,1,5,1,5,1,sectors.cio_dB,5,CIO_bias,17816,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,2,0.259690034002478,0.26125,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
196,36,mixed_conflict,19,LB/MLB,3,12,10,12,10,12,10,sectors.cio_dB,12,CIO_bias,17889,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,3,0.261005609955722,0.26125,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
197,36,mixed_conflict,19,LB/MLB,3,13,2,13,2,13,2,sectors.cio_dB,13,CIO_bias,17893,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,4,-0.127476331410944,-0.1275,0,0,0,-3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
201,36,mixed_conflict,19,LB/MLB,3,19,21,19,21,19,21,sectors.cio_dB,19,CIO_bias,17949,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,5,-0.127469385657323,-0.1275,0,0,0,-3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
206,39,low_load,1,ES,6,2,2,2,2,2,2,sectors.is_sleeping,2,ES_state,19299,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
211,39,low_load,1,ES,6,8,8,8,8,8,8,sectors.is_sleeping,8,ES_state,19313,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,2,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
