scenario_name,realization_id,source_sector_id,module_name,ai_action_id,oracle_action_id,oracle_kpi_comparison_status,oracle_implementable_flag,oracle_attach_rate,oracle_mean_rsrp_dBm,oracle_mean_sinr_dB,oracle_mean_sector_load,oracle_qos_satisfaction_ratio,oracle_served_traffic_Mbps,oracle_action_type,oracle_es_action
mixed_conflict,1,10,LB/MLB,9048,9048,comparable_oracle_action,1,0.966,-88.068247102462,8.44971834418051,1.24851748781932,0.453333333333333,759.785259836507,cio_bias_to_neighbor,
mixed_conflict,1,13,LB/MLB,9088,9088,comparable_oracle_action,1,0.968,-88.0727808103156,8.42890723156006,1.2480392859769,0.453333333333333,760.980741563674,cio_bias_to_neighbor,
mixed_conflict,1,14,LB/MLB,9097,9097,comparable_oracle_action,1,0.966,-88.0724482015698,8.43642229941074,1.24719740494951,0.453333333333333,764.685035240383,cio_bias_to_neighbor,
overload,1,8,LB/MLB,9227,9227,comparable_oracle_action,1,0.974,-88.1469868311177,8.29214183259738,1.25399774757198,0.346666666666667,795.062995922619,cio_bias_to_neighbor,
overload,1,9,LB/MLB,9236,9236,comparable_oracle_action,1,0.97,-88.113675321746,8.31720592515133,1.25742850394,0.346666666666667,795.448474567684,cio_bias_to_neighbor,
overload,1,15,LB/MLB,9314,9314,comparable_oracle_action,1,0.972,-88.1541195109604,8.27869686936874,1.23833570087326,0.34,786.612082110573,cio_bias_to_neighbor,
overload,1,20,LB/MLB,9366,9366,comparable_oracle_action,1,0.968,-88.0889768051138,8.34512392051348,1.24208832810051,0.34,788.506286961712,cio_bias_to_neighbor,
mixed_conflict,2,4,LB/MLB,9438,9438,comparable_oracle_action,1,0.976,-89.1034839862067,8.16905953102053,1.26941188534355,0.313333333333333,795.503148728385,cio_bias_to_neighbor,
mixed_conflict,2,11,LB/MLB,9529,9529,comparable_oracle_action,1,0.982,-89.1565443642343,8.1136483537505,1.27827507618482,0.326666666666667,803.916679406105,cio_bias_to_neighbor,
mixed_conflict,2,15,LB/MLB,9568,9568,comparable_oracle_action,1,0.984,-89.1735172929891,8.09582066192095,1.28239274389068,0.326666666666667,803.916679406105,cio_bias_to_neighbor,
mixed_conflict,2,16,LB/MLB,9582,9582,comparable_oracle_action,1,0.982,-89.1758209498039,8.09840521482023,1.26824398855303,0.326666666666667,805.77034561767,cio_bias_to_neighbor,
degraded_sector,3,1,LB/MLB,9913,9913,comparable_oracle_action,1,0.946,-87.9797217335533,9.2918356357073,0.340153490459581,0.946666666666667,312.910473657786,cio_bias_to_neighbor,
mixed_conflict,3,9,LB/MLB,10028,10028,comparable_oracle_action,1,0.964,-88.2883411919291,8.87352811400389,1.21897471996182,0.353333333333333,771.314088775774,cio_bias_to_neighbor,
mixed_conflict,3,10,LB/MLB,10045,10041,comparable_oracle_action,1,0.96,-88.2344983290993,8.91566781081657,1.2065513412581,0.36,773.860035193158,cio_bias_to_neighbor,
mixed_conflict,3,12,LB/MLB,10068,10068,comparable_oracle_action,1,0.96,-88.2590430236699,8.92249051872381,1.21095082653814,0.413333333333333,790.649205402164,cio_bias_to_neighbor,
mixed_conflict,3,13,LB/MLB,10089,10089,comparable_oracle_action,1,0.96,-88.2391550097147,8.91523119710119,1.21090767644617,0.366666666666667,784.247091523871,cio_bias_to_neighbor,
mixed_conflict,3,16,LB/MLB,10111,10111,comparable_oracle_action,1,0.96,-88.2396074919141,8.92172092576245,1.21133442356701,0.366666666666667,785.359230012431,cio_bias_to_neighbor,
normal,3,3,LB/MLB,10160,10160,comparable_oracle_action,1,0.95,-87.2067912317694,9.22445260741275,0.352938626314315,0.96,330.200674057893,cio_bias_to_neighbor,
degraded_sector,4,13,LB/MLB,10433,10433,comparable_oracle_action,1,0.952,-88.611844220978,8.28500241978732,0.403364226358575,0.986666666666667,350.926794337399,cio_bias_to_neighbor,
handover_stress,4,16,LB/MLB,10471,10471,comparable_oracle_action,1,0.93,-89.6736373895362,6.92066382385406,0.427624750553428,0.906666666666667,319.69854820832,cio_bias_to_neighbor,
handover_stress,5,3,LB/MLB,10939,10939,comparable_oracle_action,1,0.934,-89.4003069887367,7.45376526501952,0.397483847709754,0.906666666666667,307.428732020732,cio_bias_to_neighbor,
handover_stress,5,4,LB/MLB,10952,10952,comparable_oracle_action,1,0.924,-89.3743357129153,7.53543060158877,0.393424087935302,0.906666666666667,307.428732020732,cio_bias_to_neighbor,
outage_sector,5,1,LB/MLB,11199,11199,comparable_oracle_action,1,0.972,-88.3654522937179,8.86131036223823,0.406674271275824,0.88,338.604016847306,cio_bias_to_neighbor,
degraded_sector,6,2,LB/MLB,11446,11446,comparable_oracle_action,1,0.972,-88.7602926125082,8.2639917590398,0.418893029556261,0.986666666666667,360.715995857186,cio_bias_to_neighbor,
outage_sector,6,9,LB/MLB,11740,11732,comparable_oracle_action,1,0.964,-88.8042281537361,8.79854639170524,0.341949667725196,0.933333333333333,318.032107684091,cio_bias_to_neighbor,
mixed_conflict,8,3,LB/MLB,12537,12537,comparable_oracle_action,1,0.96,-88.1864775460911,8.26273721752541,1.19162640563271,0.446666666666667,771.163636828099,cio_bias_to_neighbor,
mixed_conflict,8,5,LB/MLB,12571,12571,comparable_oracle_action,1,0.968,-88.2236916845563,8.18680223794358,1.20410148962956,0.486666666666667,783.426492843924,cio_bias_to_neighbor,
mixed_conflict,8,11,LB/MLB,12633,12633,comparable_oracle_action,1,0.966,-88.2077052358016,8.19535836397692,1.19159218593197,0.486666666666667,780.641918632104,cio_bias_to_neighbor,
mixed_conflict,8,13,LB/MLB,12663,12663,comparable_oracle_action,1,0.96,-88.1657051494145,8.25656527008284,1.19523274238594,0.493333333333333,788.371821929062,cio_bias_to_neighbor,
overload,12,5,LB/MLB,14670,14670,comparable_oracle_action,1,0.972,-87.8419665221582,8.14514872159804,1.21230027065505,0.506666666666667,825.992115201301,cio_bias_to_neighbor,
overload,12,10,LB/MLB,14739,14739,comparable_oracle_action,1,0.98,-87.8779519612071,8.07966076544181,1.23177752051214,0.446666666666667,801.702222389187,cio_bias_to_neighbor,
overload,12,12,LB/MLB,14747,14747,comparable_oracle_action,1,0.978,-87.8595655504532,8.10219593601911,1.2317710975207,0.446666666666667,792.237922549072,cio_bias_to_neighbor,
overload,12,18,LB/MLB,14833,14833,comparable_oracle_action,1,0.98,-87.8793255612607,8.07690631265249,1.23363011736703,0.446666666666667,795.534701196665,cio_bias_to_neighbor,
overload,12,20,LB/MLB,14859,14859,comparable_oracle_action,1,0.98,-87.875577816617,8.08425678716069,1.23276928081428,0.446666666666667,800.713998269043,cio_bias_to_neighbor,
overload,13,9,LB/MLB,15237,15236,comparable_oracle_action,1,0.98,-88.2270694021531,8.05468583716112,1.33613567542033,0.38,824.101215354798,cio_bias_to_neighbor,
normal,14,12,LB/MLB,15675,15671,comparable_oracle_action,1,0.976,-87.8286596421124,8.87620956509175,0.40347620878331,1,340.572987465039,cio_bias_to_neighbor,
overload,14,1,LB/MLB,15718,15717,comparable_oracle_action,1,0.956,-87.9129046205636,8.82258928030563,1.27299911132415,0.46,834.146234666188,cio_bias_to_neighbor,
overload,14,11,LB/MLB,15818,15818,comparable_oracle_action,1,0.956,-87.9160927566303,8.81200754982675,1.23202290009291,0.5,851.806000628284,cio_bias_to_neighbor,
overload,14,15,LB/MLB,15873,15873,comparable_oracle_action,1,0.96,-87.9302729594202,8.78057157468924,1.27552794004622,0.46,832.192223393984,cio_bias_to_neighbor,
overload,14,16,LB/MLB,15879,15879,comparable_oracle_action,1,0.958,-87.9287698951494,8.77684489721266,1.27028603340385,0.54,849.92342221466,cio_bias_to_neighbor,
overload,15,2,LB/MLB,16247,16247,comparable_oracle_action,1,0.958,-87.5309225466655,9.02292962126081,1.23629571295693,0.433333333333333,809.34243676812,cio_bias_to_neighbor,
overload,15,5,LB/MLB,16285,16285,comparable_oracle_action,1,0.96,-87.5475844347503,8.9923237166016,1.24780137955918,0.426666666666667,798.917333020111,cio_bias_to_neighbor,
overload,15,6,LB/MLB,16295,16295,comparable_oracle_action,1,0.958,-87.5210663231574,9.02108985200769,1.23883932309348,0.44,820.781355352699,cio_bias_to_neighbor,
overload,15,7,LB/MLB,16312,16308,comparable_oracle_action,1,0.954,-87.4769378916196,9.07730596218655,1.20892507336955,0.426666666666667,804.069921037441,cio_bias_to_neighbor,
handover_stress,16,16,LB/MLB,16451,16451,comparable_oracle_action,1,0.944,-90.1417416869405,6.53919078914294,0.41173963142456,0.92,314.677535907359,cio_bias_to_neighbor,
handover_stress,17,12,LB/MLB,16888,16884,comparable_oracle_action,1,0.93,-89.5071174911997,6.88372215677886,0.410275550624466,0.92,316.452737460307,cio_bias_to_neighbor,
mixed_conflict,19,3,LB/MLB,17790,17790,comparable_oracle_action,1,0.97,-88.4536132559663,8.94427118004177,1.20283254883703,0.42,805.198111779856,cio_bias_to_neighbor,
mixed_conflict,19,5,LB/MLB,17816,17816,comparable_oracle_action,1,0.968,-88.4975408309872,8.95926587219016,1.20198134941996,0.36,774.745891451076,cio_bias_to_neighbor,
mixed_conflict,19,12,LB/MLB,17889,17889,comparable_oracle_action,1,0.972,-88.4786246683241,8.89885979780099,1.22742384745966,0.44,814.634674861175,cio_bias_to_neighbor,
mixed_conflict,19,13,LB/MLB,17893,17893,comparable_oracle_action,1,0.968,-88.5111924283359,8.95173820609202,1.22848586846649,0.373333333333333,796.050646040932,cio_bias_to_neighbor,
mixed_conflict,19,19,LB/MLB,17949,17949,comparable_oracle_action,1,0.974,-88.4802929471383,8.88704200738194,1.24434423575355,0.373333333333333,790.899201020848,cio_bias_to_neighbor,
